,commune,spot,full_name,url,date,hour,water_quality,conditions,level,hauteur,note,long,lat
32,plouharnel,mentor,plouharnel mentor,https://www.surf-sentinel.com/surf-report/france/morbihan/plouharnel/mentor,2023-08-14,12,B,bonnes,1,0.6,8,47.5820893,-3.1388699
33,plouharnel,mentor,plouharnel mentor,https://www.surf-sentinel.com/surf-report/france/morbihan/plouharnel/mentor,2023-08-14,15,C,bonnes,1,0.6,9,47.5820893,-3.1388699
34,plouharnel,mentor,plouharnel mentor,https://www.surf-sentinel.com/surf-report/france/morbihan/plouharnel/mentor,2023-08-14,18,C,bonnes,1,0.6,9,47.5820893,-3.1388699
35,plouharnel,mentor,plouharnel mentor,https://www.surf-sentinel.com/surf-report/france/morbihan/plouharnel/mentor,2023-08-14,21,C,bonnes,1,0.6,9,47.5820893,-3.1388699
36,plouharnel,mentor,plouharnel mentor,https://www.surf-sentinel.com/surf-report/france/morbihan/plouharnel/mentor,2023-08-15,6,B,bonnes,1,0.6,8,47.5820893,-3.1388699
37,plouharnel,mentor,plouharnel mentor,https://www.surf-sentinel.com/surf-report/france/morbihan/plouharnel/mentor,2023-08-15,9,B,bonnes,1,0.6,8,47.5820893,-3.1388699
38,plouharnel,mentor,plouharnel mentor,https://www.surf-sentinel.com/surf-report/france/morbihan/plouharnel/mentor,2023-08-15,12,C,bonnes,1,0.6,9,47.5820893,-3.1388699
39,plouharnel,mentor,plouharnel mentor,https://www.surf-sentinel.com/surf-report/france/morbihan/plouharnel/mentor,2023-08-15,15,D,bonnes,1,0.6,10,47.5820893,-3.1388699
40,plouharnel,mentor,plouharnel mentor,https://www.surf-sentinel.com/surf-report/france/morbihan/plouharnel/mentor,2023-08-15,18,C,bonnes,1,0.6,9,47.5820893,-3.1388699
41,plouharnel,mentor,plouharnel mentor,https://www.surf-sentinel.com/surf-report/france/morbihan/plouharnel/mentor,2023-08-15,21,B,bonnes,1,0.6,8,47.5820893,-3.1388699
42,quiberon,port-maria,quiberon port-maria,https://www.surf-sentinel.com/surf-report/france/morbihan/quiberon/port-maria,2023-08-09,6,B,bonnes,1,0.6,8,47.4783483,-3.1266243
43,quiberon,port-maria,quiberon port-maria,https://www.surf-sentinel.com/surf-report/france/morbihan/quiberon/port-maria,2023-08-09,9,B,bonnes,1,0.6,8,47.4783483,-3.1266243
44,quiberon,port-maria,quiberon port-maria,https://www.surf-sentinel.com/surf-report/france/morbihan/quiberon/port-maria,2023-08-09,12,D,bonnes,1,0.6,10,47.4783483,-3.1266243
45,quiberon,port-maria,quiberon port-maria,https://www.surf-sentinel.com/surf-report/france/morbihan/quiberon/port-maria,2023-08-09,15,C,bonnes,1,0.6,9,47.4783483,-3.1266243
46,quiberon,port-maria,quiberon port-maria,https://www.surf-sentinel.com/surf-report/france/morbihan/quiberon/port-maria,2023-08-09,18,B,bonnes,1,0.6,8,47.4783483,-3.1266243
47,quiberon,port-maria,quiberon port-maria,https://www.surf-sentinel.com/surf-report/france/morbihan/quiberon/port-maria,2023-08-09,21,A,bonnes,1,0.6,7,47.4783483,-3.1266243
48,quiberon,port-maria,quiberon port-maria,https://www.surf-sentinel.com/surf-report/france/morbihan/quiberon/port-maria,2023-08-10,6,B,bonnes,1,0.6,8,47.4783483,-3.1266243
49,quiberon,port-maria,quiberon port-maria,https://www.surf-sentinel.com/surf-report/france/morbihan/quiberon/port-maria,2023-08-10,9,B,bonnes,1,0.6,8,47.4783483,-3.1266243
50,quiberon,port-maria,quiberon port-maria,https://www.surf-sentinel.com/surf-report/france/morbihan/quiberon/port-maria,2023-08-10,12,C,bonnes,1,0.6,9,47.4783483,-3.1266243
51,quiberon,port-maria,quiberon port-maria,https://www.surf-sentinel.com/surf-report/france/morbihan/quiberon/port-maria,2023-08-10,15,C,bonnes,1,0.6,9,47.4783483,-3.1266243
52,quiberon,port-maria,quiberon port-maria,https://www.surf-sentinel.com/surf-report/france/morbihan/quiberon/port-maria,2023-08-10,18,C,bonnes,1,0.6,9,47.4783483,-3.1266243
53,quiberon,port-maria,quiberon port-maria,https://www.surf-sentinel.com/surf-report/france/morbihan/quiberon/port-maria,2023-08-10,21,C,bonnes,1,0.6,9,47.4783483,-3.1266243
54,quiberon,port-maria,quiberon port-maria,https://www.surf-sentinel.com/surf-report/france/morbihan/quiberon/port-maria,2023-08-11,6,C,bonnes,2,0.6,6,47.4783483,-3.1266243
55,quiberon,port-maria,quiberon port-maria,https://www.surf-sentinel.com/surf-report/france/morbihan/quiberon/port-maria,2023-08-11,9,D,bonnes,2,0.6,10,47.4783483,-3.1266243
56,quiberon,port-maria,quiberon port-maria,https://www.surf-sentinel.com/surf-report/france/morbihan/quiberon/port-maria,2023-08-11,12,D,bonnes,2,0.6,10,47.4783483,-3.1266243
57,quiberon,port-maria,quiberon port-maria,https://www.surf-sentinel.com/surf-report/france/morbihan/quiberon/port-maria,2023-08-11,15,C,bonnes,2,0.6,6,47.4783483,-3.1266243
58,quiberon,port-maria,quiberon port-maria,https://www.surf-sentinel.com/surf-report/france/morbihan/quiberon/port-maria,2023-08-11,18,D,bonnes,2,0.6,10,47.4783483,-3.1266243
59,quiberon,port-maria,quiberon port-maria,https://www.surf-sentinel.com/surf-report/france/morbihan/quiberon/port-maria,2023-08-11,21,D,bonnes,2,0.6,10,47.4783483,-3.1266243
60,quiberon,port-maria,quiberon port-maria,https://www.surf-sentinel.com/surf-report/france/morbihan/quiberon/port-maria,2023-08-12,6,C,bonnes,3,0.6,5,47.4783483,-3.1266243
61,quiberon,port-maria,quiberon port-maria,https://www.surf-sentinel.com/surf-report/france/morbihan/quiberon/port-maria,2023-08-12,9,C,bonnes,3,0.6,5,47.4783483,-3.1266243
62,quiberon,port-maria,quiberon port-maria,https://www.surf-sentinel.com/surf-report/france/morbihan/quiberon/port-maria,2023-08-12,12,D,bonnes,3,0.6,10,47.4783483,-3.1266243
63,quiberon,port-maria,quiberon port-maria,https://www.surf-sentinel.com/surf-report/france/morbihan/quiberon/port-maria,2023-08-12,15,D,bonnes,3,0.6,10,47.4783483,-3.1266243
64,quiberon,port-maria,quiberon port-maria,https://www.surf-sentinel.com/surf-report/france/morbihan/quiberon/port-maria,2023-08-12,18,D,bonnes,3,0.6,10,47.4783483,-3.1266243
65,quiberon,port-maria,quiberon port-maria,https://www.surf-sentinel.com/surf-report/france/morbihan/quiberon/port-maria,2023-08-12,21,D,bonnes,3,0.6,10,47.4783483,-3.1266243
66,quiberon,port-maria,quiberon port-maria,https://www.surf-sentinel.com/surf-report/france/morbihan/quiberon/port-maria,2023-08-13,6,C,bonnes,3,0.6,5,47.4783483,-3.1266243
67,quiberon,port-maria,quiberon port-maria,https://www.surf-sentinel.com/surf-report/france/morbihan/quiberon/port-maria,2023-08-13,9,D,bonnes,3,0.6,10,47.4783483,-3.1266243
68,quiberon,port-maria,quiberon port-maria,https://www.surf-sentinel.com/surf-report/france/morbihan/quiberon/port-maria,2023-08-13,12,D,bonnes,3,0.6,10,47.4783483,-3.1266243
69,quiberon,port-maria,quiberon port-maria,https://www.surf-sentinel.com/surf-report/france/morbihan/quiberon/port-maria,2023-08-13,15,D,bonnes,3,0.6,10,47.4783483,-3.1266243
70,quiberon,port-maria,quiberon port-maria,https://www.surf-sentinel.com/surf-report/france/morbihan/quiberon/port-maria,2023-08-13,18,D,bonnes,3,0.6,10,47.4783483,-3.1266243
71,quiberon,port-maria,quiberon port-maria,https://www.surf-sentinel.com/surf-report/france/morbihan/quiberon/port-maria,2023-08-13,21,D,bonnes,3,0.6,10,47.4783483,-3.1266243
72,quiberon,port-maria,quiberon port-maria,https://www.surf-sentinel.com/surf-report/france/morbihan/quiberon/port-maria,2023-08-14,6,C,bonnes,2,0.6,6,47.4783483,-3.1266243
73,quiberon,port-maria,quiberon port-maria,https://www.surf-sentinel.com/surf-report/france/morbihan/quiberon/port-maria,2023-08-14,9,D,bonnes,2,0.6,10,47.4783483,-3.1266243
74,quiberon,port-maria,quiberon port-maria,https://www.surf-sentinel.com/surf-report/france/morbihan/quiberon/port-maria,2023-08-14,12,C,bonnes,2,0.6,6,47.4783483,-3.1266243
75,quiberon,port-maria,quiberon port-maria,https://www.surf-sentinel.com/surf-report/france/morbihan/quiberon/port-maria,2023-08-14,15,C,bonnes,2,0.6,6,47.4783483,-3.1266243
76,quiberon,port-maria,quiberon port-maria,https://www.surf-sentinel.com/surf-report/france/morbihan/quiberon/port-maria,2023-08-14,18,B,bonnes,1,0.6,8,47.4783483,-3.1266243
77,quiberon,port-maria,quiberon port-maria,https://www.surf-sentinel.com/surf-report/france/morbihan/quiberon/port-maria,2023-08-14,21,B,bonnes,1,0.6,8,47.4783483,-3.1266243
78,quiberon,port-maria,quiberon port-maria,https://www.surf-sentinel.com/surf-report/france/morbihan/quiberon/port-maria,2023-08-15,6,B,bonnes,1,0.6,8,47.4783483,-3.1266243
79,quiberon,port-maria,quiberon port-maria,https://www.surf-sentinel.com/surf-report/france/morbihan/quiberon/port-maria,2023-08-15,9,A,bonnes,1,0.6,7,47.4783483,-3.1266243
80,quiberon,port-maria,quiberon port-maria,https://www.surf-sentinel.com/surf-report/france/morbihan/quiberon/port-maria,2023-08-15,12,B,bonnes,1,0.6,8,47.4783483,-3.1266243
81,quiberon,port-maria,quiberon port-maria,https://www.surf-sentinel.com/surf-report/france/morbihan/quiberon/port-maria,2023-08-15,15,B,bonnes,1,0.6,8,47.4783483,-3.1266243
82,quiberon,port-maria,quiberon port-maria,https://www.surf-sentinel.com/surf-report/france/morbihan/quiberon/port-maria,2023-08-15,18,B,bonnes,1,0.6,8,47.4783483,-3.1266243
83,quiberon,port-maria,quiberon port-maria,https://www.surf-sentinel.com/surf-report/france/morbihan/quiberon/port-maria,2023-08-15,21,A,bonnes,1,0.6,7,47.4783483,-3.1266243
84,erdeven,la-roche-seche,erdeven la-roche-seche,https://www.surf-sentinel.com/surf-report/france/morbihan/erdeven/la-roche-seche,2023-08-09,6,B,bonnes,1,0.6,8,47.6226276,-3.1997196
85,erdeven,la-roche-seche,erdeven la-roche-seche,https://www.surf-sentinel.com/surf-report/france/morbihan/erdeven/la-roche-seche,2023-08-09,9,A,bonnes,1,0.6,7,47.6226276,-3.1997196
86,erdeven,la-roche-seche,erdeven la-roche-seche,https://www.surf-sentinel.com/surf-report/france/morbihan/erdeven/la-roche-seche,2023-08-09,12,B,bonnes,1,0.6,8,47.6226276,-3.1997196
87,erdeven,la-roche-seche,erdeven la-roche-seche,https://www.surf-sentinel.com/surf-report/france/morbihan/erdeven/la-roche-seche,2023-08-09,15,B,bonnes,1,0.6,8,47.6226276,-3.1997196
88,erdeven,la-roche-seche,erdeven la-roche-seche,https://www.surf-sentinel.com/surf-report/france/morbihan/erdeven/la-roche-seche,2023-08-09,18,B,bonnes,1,0.6,8,47.6226276,-3.1997196
89,erdeven,la-roche-seche,erdeven la-roche-seche,https://www.surf-sentinel.com/surf-report/france/morbihan/erdeven/la-roche-seche,2023-08-09,21,C,bonnes,1,0.6,9,47.6226276,-3.1997196
90,erdeven,la-roche-seche,erdeven la-roche-seche,https://www.surf-sentinel.com/surf-report/france/morbihan/erdeven/la-roche-seche,2023-08-10,6,C,bonnes,1,0.6,9,47.6226276,-3.1997196
91,erdeven,la-roche-seche,erdeven la-roche-seche,https://www.surf-sentinel.com/surf-report/france/morbihan/erdeven/la-roche-seche,2023-08-10,9,C,bonnes,1,0.6,9,47.6226276,-3.1997196
92,erdeven,la-roche-seche,erdeven la-roche-seche,https://www.surf-sentinel.com/surf-report/france/morbihan/erdeven/la-roche-seche,2023-08-10,12,D,bonnes,1,0.6,10,47.6226276,-3.1997196
93,erdeven,la-roche-seche,erdeven la-roche-seche,https://www.surf-sentinel.com/surf-report/france/morbihan/erdeven/la-roche-seche,2023-08-10,15,D,bonnes,1,0.6,10,47.6226276,-3.1997196
94,erdeven,la-roche-seche,erdeven la-roche-seche,https://www.surf-sentinel.com/surf-report/france/morbihan/erdeven/la-roche-seche,2023-08-10,18,D,bonnes,1,0.6,10,47.6226276,-3.1997196
95,erdeven,la-roche-seche,erdeven la-roche-seche,https://www.surf-sentinel.com/surf-report/france/morbihan/erdeven/la-roche-seche,2023-08-10,21,D,bonnes,1,0.6,10,47.6226276,-3.1997196
96,erdeven,la-roche-seche,erdeven la-roche-seche,https://www.surf-sentinel.com/surf-report/france/morbihan/erdeven/la-roche-seche,2023-08-11,6,D,bonnes,2,0.6,10,47.6226276,-3.1997196
97,erdeven,la-roche-seche,erdeven la-roche-seche,https://www.surf-sentinel.com/surf-report/france/morbihan/erdeven/la-roche-seche,2023-08-11,9,D,bonnes,2,0.6,10,47.6226276,-3.1997196
98,erdeven,la-roche-seche,erdeven la-roche-seche,https://www.surf-sentinel.com/surf-report/france/morbihan/erdeven/la-roche-seche,2023-08-11,12,C,bonnes,2,0.6,6,47.6226276,-3.1997196
99,erdeven,la-roche-seche,erdeven la-roche-seche,https://www.surf-sentinel.com/surf-report/france/morbihan/erdeven/la-roche-seche,2023-08-11,15,C,bonnes,2,0.6,6,47.6226276,-3.1997196
100,erdeven,la-roche-seche,erdeven la-roche-seche,https://www.surf-sentinel.com/surf-report/france/morbihan/erdeven/la-roche-seche,2023-08-11,18,C,bonnes,2,0.6,6,47.6226276,-3.1997196
101,erdeven,la-roche-seche,erdeven la-roche-seche,https://www.surf-sentinel.com/surf-report/france/morbihan/erdeven/la-roche-seche,2023-08-11,21,C,bonnes,2,0.6,6,47.6226276,-3.1997196
102,erdeven,la-roche-seche,erdeven la-roche-seche,https://www.surf-sentinel.com/surf-report/france/morbihan/erdeven/la-roche-seche,2023-08-12,6,D,bonnes,3,0.6,10,47.6226276,-3.1997196
103,erdeven,la-roche-seche,erdeven la-roche-seche,https://www.surf-sentinel.com/surf-report/france/morbihan/erdeven/la-roche-seche,2023-08-12,9,D,bonnes,3,0.6,10,47.6226276,-3.1997196
104,erdeven,la-roche-seche,erdeven la-roche-seche,https://www.surf-sentinel.com/surf-report/france/morbihan/erdeven/la-roche-seche,2023-08-12,12,D,bonnes,3,0.6,10,47.6226276,-3.1997196
105,erdeven,la-roche-seche,erdeven la-roche-seche,https://www.surf-sentinel.com/surf-report/france/morbihan/erdeven/la-roche-seche,2023-08-12,15,D,bonnes,3,0.6,10,47.6226276,-3.1997196
106,erdeven,la-roche-seche,erdeven la-roche-seche,https://www.surf-sentinel.com/surf-report/france/morbihan/erdeven/la-roche-seche,2023-08-12,18,D,bonnes,3,0.6,10,47.6226276,-3.1997196
107,erdeven,la-roche-seche,erdeven la-roche-seche,https://www.surf-sentinel.com/surf-report/france/morbihan/erdeven/la-roche-seche,2023-08-12,21,D,bonnes,3,0.6,10,47.6226276,-3.1997196
108,erdeven,la-roche-seche,erdeven la-roche-seche,https://www.surf-sentinel.com/surf-report/france/morbihan/erdeven/la-roche-seche,2023-08-13,6,D,bonnes,3,0.6,10,47.6226276,-3.1997196
109,erdeven,la-roche-seche,erdeven la-roche-seche,https://www.surf-sentinel.com/surf-report/france/morbihan/erdeven/la-roche-seche,2023-08-13,9,D,bonnes,3,0.6,10,47.6226276,-3.1997196
110,erdeven,la-roche-seche,erdeven la-roche-seche,https://www.surf-sentinel.com/surf-report/france/morbihan/erdeven/la-roche-seche,2023-08-13,12,D,bonnes,3,0.6,10,47.6226276,-3.1997196
111,erdeven,la-roche-seche,erdeven la-roche-seche,https://www.surf-sentinel.com/surf-report/france/morbihan/erdeven/la-roche-seche,2023-08-13,15,D,bonnes,3,0.6,10,47.6226276,-3.1997196
112,erdeven,la-roche-seche,erdeven la-roche-seche,https://www.surf-sentinel.com/surf-report/france/morbihan/erdeven/la-roche-seche,2023-08-13,18,D,bonnes,3,0.6,10,47.6226276,-3.1997196
113,erdeven,la-roche-seche,erdeven la-roche-seche,https://www.surf-sentinel.com/surf-report/france/morbihan/erdeven/la-roche-seche,2023-08-13,21,D,bonnes,3,0.6,10,47.6226276,-3.1997196
114,erdeven,la-roche-seche,erdeven la-roche-seche,https://www.surf-sentinel.com/surf-report/france/morbihan/erdeven/la-roche-seche,2023-08-14,6,C,bonnes,2,0.6,6,47.6226276,-3.1997196
115,erdeven,la-roche-seche,erdeven la-roche-seche,https://www.surf-sentinel.com/surf-report/france/morbihan/erdeven/la-roche-seche,2023-08-14,9,B,bonnes,2,0.6,4,47.6226276,-3.1997196
116,erdeven,la-roche-seche,erdeven la-roche-seche,https://www.surf-sentinel.com/surf-report/france/morbihan/erdeven/la-roche-seche,2023-08-14,12,B,bonnes,2,0.6,4,47.6226276,-3.1997196
117,erdeven,la-roche-seche,erdeven la-roche-seche,https://www.surf-sentinel.com/surf-report/france/morbihan/erdeven/la-roche-seche,2023-08-14,15,B,bonnes,2,0.6,4,47.6226276,-3.1997196
118,erdeven,la-roche-seche,erdeven la-roche-seche,https://www.surf-sentinel.com/surf-report/france/morbihan/erdeven/la-roche-seche,2023-08-14,18,C,bonnes,1,0.6,9,47.6226276,-3.1997196
119,erdeven,la-roche-seche,erdeven la-roche-seche,https://www.surf-sentinel.com/surf-report/france/morbihan/erdeven/la-roche-seche,2023-08-14,21,C,bonnes,1,0.6,9,47.6226276,-3.1997196
120,erdeven,la-roche-seche,erdeven la-roche-seche,https://www.surf-sentinel.com/surf-report/france/morbihan/erdeven/la-roche-seche,2023-08-15,6,B,bonnes,1,0.6,8,47.6226276,-3.1997196
121,erdeven,la-roche-seche,erdeven la-roche-seche,https://www.surf-sentinel.com/surf-report/france/morbihan/erdeven/la-roche-seche,2023-08-15,9,B,bonnes,1,0.6,8,47.6226276,-3.1997196
122,erdeven,la-roche-seche,erdeven la-roche-seche,https://www.surf-sentinel.com/surf-report/france/morbihan/erdeven/la-roche-seche,2023-08-15,12,C,bonnes,1,0.6,9,47.6226276,-3.1997196
123,erdeven,la-roche-seche,erdeven la-roche-seche,https://www.surf-sentinel.com/surf-report/france/morbihan/erdeven/la-roche-seche,2023-08-15,15,D,bonnes,1,0.6,10,47.6226276,-3.1997196
124,erdeven,la-roche-seche,erdeven la-roche-seche,https://www.surf-sentinel.com/surf-report/france/morbihan/erdeven/la-roche-seche,2023-08-15,18,D,bonnes,1,0.6,10,47.6226276,-3.1997196
125,erdeven,la-roche-seche,erdeven la-roche-seche,https://www.surf-sentinel.com/surf-report/france/morbihan/erdeven/la-roche-seche,2023-08-15,21,B,bonnes,1,0.6,8,47.6226276,-3.1997196
126,plouhinec,kervegant,plouhinec kervegant,https://www.surf-sentinel.com/surf-report/france/morbihan/plouhinec/kervegant,2023-08-09,6,A,bonnes,1,0.6,7,47.664549,-3.2256925
127,plouhinec,kervegant,plouhinec kervegant,https://www.surf-sentinel.com/surf-report/france/morbihan/plouhinec/kervegant,2023-08-09,9,B,bonnes,1,0.6,8,47.664549,-3.2256925
128,plouhinec,kervegant,plouhinec kervegant,https://www.surf-sentinel.com/surf-report/france/morbihan/plouhinec/kervegant,2023-08-09,12,C,bonnes,1,0.6,9,47.664549,-3.2256925
129,plouhinec,kervegant,plouhinec kervegant,https://www.surf-sentinel.com/surf-report/france/morbihan/plouhinec/kervegant,2023-08-09,15,B,bonnes,1,0.6,8,47.664549,-3.2256925
130,plouhinec,kervegant,plouhinec kervegant,https://www.surf-sentinel.com/surf-report/france/morbihan/plouhinec/kervegant,2023-08-09,18,B,bonnes,1,0.6,8,47.664549,-3.2256925
131,plouhinec,kervegant,plouhinec kervegant,https://www.surf-sentinel.com/surf-report/france/morbihan/plouhinec/kervegant,2023-08-09,21,B,bonnes,1,0.6,8,47.664549,-3.2256925
132,plouhinec,kervegant,plouhinec kervegant,https://www.surf-sentinel.com/surf-report/france/morbihan/plouhinec/kervegant,2023-08-10,6,B,bonnes,1,0.6,8,47.664549,-3.2256925
133,plouhinec,kervegant,plouhinec kervegant,https://www.surf-sentinel.com/surf-report/france/morbihan/plouhinec/kervegant,2023-08-10,9,B,bonnes,1,0.6,8,47.664549,-3.2256925
134,plouhinec,kervegant,plouhinec kervegant,https://www.surf-sentinel.com/surf-report/france/morbihan/plouhinec/kervegant,2023-08-10,12,C,bonnes,1,0.6,9,47.664549,-3.2256925
135,plouhinec,kervegant,plouhinec kervegant,https://www.surf-sentinel.com/surf-report/france/morbihan/plouhinec/kervegant,2023-08-10,15,C,bonnes,1,0.6,9,47.664549,-3.2256925
136,plouhinec,kervegant,plouhinec kervegant,https://www.surf-sentinel.com/surf-report/france/morbihan/plouhinec/kervegant,2023-08-10,18,C,bonnes,1,0.6,9,47.664549,-3.2256925
137,plouhinec,kervegant,plouhinec kervegant,https://www.surf-sentinel.com/surf-report/france/morbihan/plouhinec/kervegant,2023-08-10,21,C,bonnes,1,0.6,9,47.664549,-3.2256925
138,plouhinec,kervegant,plouhinec kervegant,https://www.surf-sentinel.com/surf-report/france/morbihan/plouhinec/kervegant,2023-08-11,6,D,bonnes,2,0.6,10,47.664549,-3.2256925
139,plouhinec,kervegant,plouhinec kervegant,https://www.surf-sentinel.com/surf-report/france/morbihan/plouhinec/kervegant,2023-08-11,9,D,bonnes,2,0.6,10,47.664549,-3.2256925
140,plouhinec,kervegant,plouhinec kervegant,https://www.surf-sentinel.com/surf-report/france/morbihan/plouhinec/kervegant,2023-08-11,12,D,bonnes,2,0.6,10,47.664549,-3.2256925
141,plouhinec,kervegant,plouhinec kervegant,https://www.surf-sentinel.com/surf-report/france/morbihan/plouhinec/kervegant,2023-08-11,15,D,bonnes,2,0.6,10,47.664549,-3.2256925
142,plouhinec,kervegant,plouhinec kervegant,https://www.surf-sentinel.com/surf-report/france/morbihan/plouhinec/kervegant,2023-08-11,18,D,bonnes,2,0.6,10,47.664549,-3.2256925
